ID	ctl1	ctl2	exp1	exp2
ADIG	5.177888148	4.482130898	6.07095	5.82089
ADIPOQ	3.998468	3.675305	3.76008	4.11712
ADIPOR1	8.268573	8.714106	10.1972	10.0028
ADIPOR2	8.244933609	8.247376059	9.05787	9.35471
ADIRF	7.938527923	8.06959595	9.11798	9.4503
ADK	8.15273673	8.128277624	9.39128	9.23461
ADM	10.28293674	10.25523301	9.78603	10.3836
ADM2	6.719948	6.33115	8.40592	8.3135
ADNP	9.366391216	9.102373182	9.19986	8.85412
ADNP2	6.936603538	7.092836832	7.719	7.80222
ADO	7.179349	7.28983	7.27697	7.52527
ADORA1	5.329838	5.41713	5.83861	5.82983
ADORA2A	6.624446969	6.629898395	7.37563	7.34325
ADORA2A-AS1	3.988452	4.069698	4.93018	4.84318
ADORA2B	4.123829	4.463891	8.46578	6.73281
ADORA3	5.459342	5.322173	7.61464	6.58217
ADPGK	8.965925	8.915486	9.98983	9.99163
ADPRH	5.36739	5.193202	6.32568	6.58245
ADPRHL1	4.875036552	4.681555221	6.4809	6.2414
ADPRHL2	8.446083	8.536142	9.30229	9.03225
ADPRM	7.144652	7.119394	7.01354	7.40431
ADRA1A	3.829713	3.457811	4.37936	4.46667
ADRA1B	5.032042	5.348288	4.23756	4.29528
ADRA1D	4.516019	4.534429	4.58892	4.61967
ADRA2A	7.753723	7.896853	7.57449	8.2643
ADRA2B	4.991259	5.134699	6.65829	6.77234
ADRA2C	5.659887	5.615528	6.49509	6.515
ADRB1	3.298461	3.544774	4.37177	4.51026
ADRB2	7.505582	7.637301	7.80417	7.9618
ADRB3	5.090132	5.760143	6.01305	6.03935
ADRBK1	7.224352059	7.242090832	8.34033	8.31241
ADRBK2	7.318251577	7.344934832	8.0815	8.07367
ADRM1	8.32469081	8.213288964	9.95037	9.72275
ADSL	9.320708537	9.134388254	9.72449	9.58717
ADSS	7.805734	7.673957	9.05632	9.10978
ADSSL1	5.418846	5.745118	6.40333	6.81773
ADTRP	4.111423	3.789298	6.25296	6.41588
AEBP1	8.950732823	9.04873236	12.5463	12.5565
AEBP2	8.846601	8.438075	8.23455	8.83224
AEN	6.620055	6.576755	8.10035	8.203
AES	8.677479	8.891073	10.1475	10.1698
AFAP1	3.261840551	3.631642579	4.44306	4.64202
AFAP1-AS1	3.503848338	3.012985527	6.41889	4.63279
AFAP1L1	6.098297444	5.609683725	6.52883	7.21687
AFAP1L2	7.52686	7.310798	5.64086	6.15029
AFF1	9.500235212	9.573483823	10.4713	10.5439
AFF2	4.059572	3.4551	6.29229	6.49104
AFF3	3.373611144	3.608972386	4.44013	4.9522
AFF4	2.559119262	2.673468303	3.5339	3.67681
AFG3L1P	7.47783284	7.314412881	8.15934	8.31826
AFG3L2	9.031126965	8.953466079	9.81974	9.63515
AFM	3.032543	2.76926	4.61122	4.36163
AFMID	4.879209	4.68826	6.76461	6.55541
AFP	3.750596999	3.75199513	4.70669	4.88042
AFTPH	8.763265	8.781679	9.96976	9.67134
AGA	8.122789083	8.137880782	9.55002	9.00848
AGAP1	6.755381999	6.494092701	8.59783	7.96843
AGAP2	5.281229	5.615445	6.61693	6.79565
AGAP3	7.573126	7.509325	9.3374	9.1534
AGAP6	4.104453	4.081066	4.38906	4.86815
AGBL1	3.377574312	3.242323526	5.48359	5.8219
AGBL2	3.5662	3.647026	4.60643	4.76957
AGBL3	2.749968504	2.428217038	3.72044	3.68318
AGBL4	3.556395579	3.89460719	5.67497	6.04253
AGBL5	5.869409	6.09046	8.32841	8.04647
AGER	4.357766	3.980262	9.60635	9.83241
AGFG1	5.661405	6.340269	6.87052	5.62037
AGFG2	4.742392315	5.136917918	6.16464	5.84214
AGGF1	5.128191	5.301735	4.99438	4.89084
AGK	2.894851935	2.76631361	3.99075	3.86344
AGL	8.665049696	8.646654548	8.76177	8.30388
AGMAT	4.194584	4.066443	4.57079	4.61384
AGO1	7.632439	7.780589	8.80021	8.5229
AGO2	2.976628981	2.854305191	4.42391	4.14969
AGO3	7.694477	7.729044	7.75952	6.96091
AGO4	3.449355178	3.273747273	4.14577	4.10071
AGPAT1	7.318818	7.473942	8.82419	8.43073
AGPAT2	5.807007	6.050503	8.61802	8.57773
AGPAT3	5.16198	5.3448	7.19286	7.07141
AGPAT4	5.448466	5.274534	6.95128	8.16
AGPAT4-IT1	5.392769	5.328081	7.48593	7.95079
AGPAT5	8.2439	8.523674	7.95589	8.01051
AGPAT6	7.855012	7.806008	9.78841	9.69585
AGPAT9	5.190073	5.529485	7.0954	7.52716
AGPS	6.520791671	6.950577902	8.46091	8.46841
AGR2	4.8952	3.942777	11.678	9.97621
AGR3	3.77642	3.656766	9.82317	9.3029
AGRN	5.830122	5.664644	6.48563	6.75154
AGRP	5.309367	5.297549	7.2089	7.39987
AGT	4.37646077	4.930371249	5.99474	6.25444
AGTPBP1	5.816107331	5.464698056	5.80512	6.67917
AGTR1	7.753630028	7.694029562	8.0317	6.33717
AGTR2	3.319654	3.007874	4.36237	6.20891
AGTRAP	7.469819319	7.526781754	9.62602	9.29682
AGXT	3.67446	3.516162	4.34306	4.48847
AGXT2	3.972396	4.054425	5.50535	5.43088
AHCTF1	5.048104164	5.097389562	4.74435	5.11671
AHCY	7.455661602	7.677140164	9.99156	9.58278
AHCYL1	7.356240726	7.932611522	9.19086	9.20332
AHCYL2	6.607549	6.57665	10.068	10.0427
AHDC1	6.121038959	6.466298412	6.96953	6.64945
AHI1	5.373119	5.410568	6.70961	7.23665
AHNAK	9.927709	9.909065	11.3642	11.8945
AHNAK2	4.879099871	5.065628033	5.91801	5.73224
AHR	8.882009421	8.571173845	9.7837	10.3549
AHRR	4.887402	5.092513	5.72884	5.76583
AHSA1	9.168097022	9.053920432	10.279	9.96448
AHSA2	7.961037	8.040372	7.66983	8.08717
AHSG	4.262438185	4.05582641	5.39762	5.50461
AHSP	4.773145	5.064857	6.62425	6.71243
AICDA	3.164101	2.735479	5.13125	5.93668
AIDA	8.670695	8.465748	8.11904	8.87866
AIF1	4.116732	4.079449	5.37997	4.96065
AIF1L	7.163897	7.052341	6.82947	6.84449
AIFM1	7.153609	7.383548	8.89739	8.52333
AIFM2	5.683057	5.558626	8.91735	7.69957
AIFM3	5.422064	5.492707	6.58536	6.48507
AIG1	7.786069	7.682258	8.47358	8.25684
AIM1	8.559257	8.491331	9.08361	9.684
AIM1L	4.354134	4.405017	5.56294	5.75914
AIM2	8.674243	8.702655	7.83206	6.82152
AIMP1	7.460402052	7.709886989	7.71489	7.96446
AIMP2	8.473393663	8.523895017	9.26228	8.92484
AIP	7.873259062	7.788415873	8.5901	8.44759
AIPL1	3.336148	3.159899	5.25897	5.14933
AIRE	5.059441	4.965523	6.02836	5.93642
AJAP1	4.056378	4.381567	4.82401	4.87647
AJUBA	6.005315472	6.306278598	7.99684	6.78778
AK1	8.327653682	8.459265743	9.5772	9.9765
AK2	7.104391	7.127425	7.95832	8.30209
AK3	7.409221	6.808529	8.33941	8.73689
AK4	6.330764389	6.484048652	6.95717	5.07342
AK5	4.021164	4.403691	5.34542	5.57865
AK6	9.167339099	8.909476429	9.32776	9.26603
AK7	4.171456609	4.799340123	5.30737	5.01804
AK8	5.984303044	5.701128516	7.20681	7.03322
AK9	3.532462988	4.110866323	4.55589	4.31225
AKAP1	7.149190006	6.758884316	9.85268	9.03332
AKAP10	6.318168599	6.413423767	6.60402	6.68314
AKAP11	9.307573738	9.450522973	8.77403	9.2436
AKAP12	3.80185105	3.697972848	4.6562	4.95994
AKAP13	7.125067	7.165997	9.53422	9.34542
AKAP14	2.899279	2.653661	4.06814	4.00465
AKAP2	3.309161869	3.341190675	4.37491	4.3076
AKAP3	4.176605	3.908192	4.85068	4.98184
AKAP4	3.918679	3.759158	4.67367	4.91932
AKAP5	3.182906	3.044993	5.19435	5.09155
AKAP6	3.640154952	3.714463559	5.10201	4.51609
AKAP7	7.363796	7.438344	7.28978	7.338
AKAP8	6.788721629	6.811202684	8.63557	8.82289
AKAP8L	6.580013	6.369826	7.55242	7.7706
AKAP9	3.222714	3.086712	4.37481	4.47087
AKIP1	7.704933	7.923797	7.41428	7.3884
AKIRIN1	7.604693	7.561533	8.67737	8.94637
AKIRIN2	6.077071	6.457113	6.81967	6.25193
AKNA	3.759027853	3.849013373	5.0781	4.88253
AKNAD1	3.000123719	2.625565016	4.48906	4.68332
AKR1A1	9.591362233	9.628927909	10.9005	10.6778
AKR1B1	9.060522767	9.016749462	12.045	11.3554
AKR1B10	4.463661	4.092914	12.1769	5.1484
AKR1C1	2.99838114	2.98929996	6.63888	4.29419
AKR1C2	6.157603	6.151475	14.1104	9.68337
AKR1C3	5.434746	5.471685	12.6093	8.9175
AKR1C4	3.102123	3.15161	4.00251	3.90062
AKR1C6P	5.310865	5.243967	5.20973	5.2424
AKR1D1	2.652726	2.435545	3.77932	3.82045
AKR1E2	3.765970371	3.471151857	4.54188	4.48773
AKR7A2	8.045073778	8.094951366	9.7127	9.59743
AKR7A3	6.89289	7.060652	8.66835	8.77106
AKT1	7.949512	7.978296	9.6098	9.62775
AKT1S1	4.125410986	3.943198068	6.8963	6.61674
AKT2	5.554222982	5.732323861	5.96097	5.80604
AKT3	8.278754	8.382409	8.67283	9.06886
AKTIP	7.850236	7.74012	8.95588	8.75037
ALAD	7.341155	7.221513	8.24484	8.51246
ALAS1	7.803532	7.614146	9.07926	9.27778
ALAS2	5.694375	5.535035	6.56029	6.56533
ALB	2.494159487	2.451498801	3.51204	3.78037
ALCAM	3.61717743	4.197299113	6.26928	6.1086
ALDH16A1	6.38882	6.509368	8.76854	8.78727
ALDH18A1	7.445012	7.416795	9.99933	10.1883
ALDH1A1	9.104738	8.988752	11.7014	10.6737
ALDH1A2	5.035307	4.932902	6.26726	6.13534
